"","idInterview","state","city","region","type","sex","age_full","age_60","P1","P2","P3","P4","P5","P6","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P8_6","P8_7","P8_8","P8_9","P8_10","P8_11","P8_99","P9","P10_1","P10_2","P10_3","P10_4","P10_5","P10_6","P10_7","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12A","P13_1","P13_2","P13_3","P13_4","P13_5","P13_6","P13_7","P14","P15","P16","P17_1","P17_2","P17_3","P17_4","P17_5","P17_6","P17_7","P17_8","P18","P19","P20","P21","P22","P23_1","P23_2","P23_3","P23_4","P23_5","P24","P25_1","P25_2","P25_3","P25_4","P25_5","P25_6","P25_7","P25_8","P26_1","P26_2","P26_3","P26_4","P26_5","P26_6","P27","P28","P29","P30","P31_1","P31_2","P31_3","P31_4","P31_5","P31_6","P31_7","P31_8","P31_9","P31_10","P31_11","P31_12","P31_13","P32_1","P32_2","P32_3","P32_4","P32_5","P32_6","P33","P34_1","P34_2","P34_3","P34_4","P35","P36","P37","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P40_1","P40_2","education_full","race","religion_full","income_full","class_full","age_50","education","income","class","religion"
"685",28856760,"RS","CAXIAS DO SUL","South","Countryside","Men",59,"45-59 age","Good","Approves","Fair amount","Right/Center-Right","Mildly interested","Mildly interested","a few times a week",NA,"Online newspaper",NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Facebook","Instagram","Youtube",NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","No trust at all","Not very much","Not very much","Not very much","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources who share your point of view","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,NA,NA,NA,NA,NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, but not very much","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","People in general","Yes, rarely","Never heard of fact-checking agencies","Yes, rarely",NA,"Judiciary",NA,NA,"Police",NA,NA,NA,"Church",NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Press","No change at all","Not very much","Printed vote (from the electronic ballot)","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no internal interference (inside Brazil)","Agility/speed in counting votes","High School","White","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","50 or more","High School","3 to 6 MWs","A/B","Catholic"
"686",28858038,"RS","CAXIAS DO SUL","South","Countryside","Men",55,"45-59 age","Terrible","Strongly disapproves","None at all","I no longer have a defined political orientation","Mildly interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Instagram","Facebook",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","No trust at all","Not very much","Not very much","Not very much","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources who share your point of view","Ignores","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,NA,NA,NA,NA,NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a fair amount","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Government, politicians, or political parties in my country","Never","Never heard of fact-checking agencies","Yes, rarely",NA,NA,"Legislative",NA,NA,"Academia/Scientists",NA,NA,"Church",NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Press","No change at all","Not very much","Electronic ballot","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Agility/speed in counting votes","Confidence in the independence and reliability of the electoral justice","High School","Pardo (brown)","Protestant / Evangelical","Between R$ 3.600,01 and R$ 7.200,00","B2","50 or more","High School","3 to 6 MWs","A/B","Evangelicals"
"687",28858449,"RS","CAcAPAVA DO SUL","South","Countryside","Men",52,"45-59 age","Bad","Disapproves","Not very much","Left/Center-Left","Minimally interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,"WhatsApp or telephone",NA,NA,NA,NA,"Ease of access","Facebook","Youtube",NA,NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","No trust at all","No trust at all","Not very much","It depends on the content of the news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Never","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Minor","Minor","Major","Minor","Major","Not impacted at all","Major","Major","Major","Major","Major","Minor","Major","Journalists or the press","Yes, rarely","Never heard of fact-checking agencies","Never",NA,"Judiciary",NA,"Armed Forces (Military, Navy, Air force)",NA,NA,NA,NA,"Church",NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Press","Decreased a fair amount","Don't trust","Printed vote (from the electronic ballot)","Very worried","Very worried","Slightly worried","Slightly worried","Slightly worried","Agility/speed in counting votes","Guaranteeing my vote was counted","Higher Education","White","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","50 or more","Higher Education","3 to 6 MWs","A/B","Catholic"
"688",28858461,"RS","ALVORADA","South","Metropolitan region","Men",54,"45-59 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Quite interested","Mildly interested","a few times a week",NA,NA,"Printed magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trusted content","WhatsApp","Youtube","Instagram",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"PC/desktop","LapTop/notebook",NA,NA,NA,NA,NA,"PC/desktop","No trust at all","Not very much","No trust at all","No trust at all","No trust at all","No trust at all","No trust at all","It depends on the content of the news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Sometimes","No",NA,"Not much responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","Yes, a great deal","Minor","Minor","Minor","Minor","Minor","Minor","Minor","Minor","Major","Major","Major","Major","Minor","Major","Government, politicians, or political parties in my country","Yes, rarely","Never heard of fact-checking agencies","Never",NA,NA,NA,NA,"Police",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Academia/Scientists","Decreased a great deal","Don't trust","Either one of the above","Not worried","Not worried","Not worried","Not worried","Not worried","Convenience/ease of voting","None of the above","High School","White","Protestant / Evangelical","Between R$ 1.800,01 and R$ 3.600,00","C1","50 or more","High School","1 to 3 MWs","C","Evangelicals"
"689",28859243,"RS","CACHOEIRINHA","South","Metropolitan region","Men",46,"45-59 age","Excellent","Strongly approves","Great deal","Right/Center-Right","Quite interested","Mildly interested","Unsure",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Does not use","Does not use","Does not use","Does not use","Not very much","Does not use","Does not use","Indifferent","News from sources with different points of view","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Unsure","No","Unsure","Unsure",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Major","Major","Major","Major","Major","Major","Scientists","Never","Unsure","Unsure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","No","No","No","No","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","Church","Unsure","Unsure","Unsure","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Unsure",NA,"Elementary School","Other","Catholic","Between R$ 600,01 and R$ 1.200,00","D","40-49 age","Elementary School","Up to 1 MW","D/E","Catholic"
"690",28859319,"RS","SaO LEOPOLDO","South","Metropolitan region","Men",45,"45-59 age","Terrible","Strongly disapproves","None at all","I never had a political orientation","Not interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television","Alternative news services",NA,NA,NA,NA,NA,"Ease of access","Facebook","WhatsApp","Instagram",NA,NA,NA,NA,NA,NA,NA,"News site/news agency","YouTube channel",NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Great deal","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Ignores",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","A great deal of responsibility","Yes, a fair amount","Minor","Major","Minor","Major","Minor","Major","Major","Major","Unsure","Unsure","Unsure","Unsure","Unsure","Moderate","People in general","Yes, occasionally","No","Yes, rarely",NA,NA,NA,"Armed Forces (Military, Navy, Air force)",NA,"Academia/Scientists",NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"No","Yes","No","Yes","Unsure","Yes","Yes, for worse","Disagree","Agree","Disagree","Disagree","Academia/Scientists","Increased a great deal","Not very much","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Very worried","Slightly worried","Agility/speed in counting votes","Guaranteeing that there is no internal interference (inside Brazil)","Elementary School","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","40-49 age","Elementary School","Up to 1 MW","D/E","Catholic"
"691",28859359,"RS","PORTO ALEGRE","South","Capital","Men",45,"45-59 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Mildly interested","Mildly interested","Less than once a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Ease of access","WhatsApp","Facebook","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","No trust at all","Not very much","Not very much","It depends on the content of the news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,"I share journalistic news with people I know",NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Sometimes","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Minor","Moderate","Major","Not impacted at all","Major","Minor","Major","Major","Major","Major","Major","Major","Major","People in general","Yes, always","Yes","Never",NA,"Judiciary",NA,NA,NA,"Academia/Scientists",NA,NA,"Church",NA,NA,NA,NA,"Yes","No","Yes","No","No","Yes","Yes, for worse","Disagree","Disagree","Disagree","Disagree","Federal government","Increased a great deal","Not very much","Printed vote (from the electronic ballot)","Slightly worried","Slightly worried","Not worried","Not worried","Slightly worried","None of the above",NA,"No education","Black","Protestant / Evangelical","Between R$ 1.800,01 and R$ 3.600,00","C1","40-49 age","No education","1 to 3 MWs","C","Evangelicals"
"692",28859363,"RS","SaO LEOPOLDO","South","Metropolitan region","Men",50,"45-59 age","Regular","Neither approves nor disapproves","Not very much","Right/Center-Right","Quite interested","Mildly interested","a few times a week",NA,"Online newspaper",NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Trusted content","Instagram","WhatsApp","Facebook","Youtube","TikTok",NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Great deal","No trust at all","No trust at all","Not very much","Not very much","Not very much","Indifferent","News from sources with different points of view","Ignores",NA,NA,NA,"I share journalistic news with people I know",NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","Unsure","Sometimes","No",NA,"No responsibility at all","No responsibility at all","No responsibility at all","A great deal of responsibility","Not much responsibility","Yes, a great deal","Not impacted at all","Not impacted at all","Minor","Major","Minor","Major","Major","Major","Not impacted at all","Major","Unsure","Unsure","Minor","Major","Friends and family","Never","No","Never",NA,"Judiciary",NA,NA,NA,NA,NA,NA,"Church",NA,"Bar Association - OAB",NA,NA,"No","No","No","No","No","No","It did not change","Agree","Disagree","Disagree","Agree","WHO/Anvisa","Increased a great deal","Don't trust","Printed vote (from the electronic ballot)","Slightly worried","Very worried","Very worried","Slightly worried","Very worried","Confidence in the independence and reliability of the electoral justice","Guaranteeing my vote was counted","No education","Pardo (brown)","Protestant / Evangelical","Between R$ 1.800,01 and R$ 3.600,00","C1","50 or more","No education","1 to 3 MWs","C","Evangelicals"
"693",28859379,"RS","SANTIAGO","South","Countryside","Men",49,"45-59 age","Regular","Strongly disapproves","Unsure","I never had a political orientation","Mildly interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Ease of access","WhatsApp","Youtube","Instagram",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,NA,NA,NA,"Celular","LapTop/notebook","SmartTV",NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","No trust at all","Not very much","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,"I comment on journalistic news on social media or website","I write about journalistic news or about the subject",NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Sometimes","No",NA,"A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Major","Moderate","Moderate","Major","Major","Major","Major","Moderate","Unsure","Unsure","Major","Activists or groups of activists","Yes, always","Never heard of fact-checking agencies","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,"Church",NA,"Bar Association - OAB",NA,NA,"Yes","No","No","Yes","No","Yes","It did not change","Disagree","Agree","Disagree","Disagree","Press","Increased a fair amount","Not very much","Electronic ballot","Slightly worried","Slightly worried","Very worried","Slightly worried","Slightly worried","Agility/speed in counting votes","Trust in the voting system (electronic ballot or paper ballot)","Higher Education","White","Protestant / Evangelical","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","Evangelicals"
"694",28845202,"SC","FLORIANoPOLIS","South","Capital","Men",48,"45-59 age","Good","Approves","Fair amount","I no longer have a defined political orientation","Minimally interested","Mildly interested","a few times a week",NA,NA,NA,NA,NA,NA,NA,"WhatsApp or telephone",NA,"Social media",NA,NA,"Ease of access","Facebook","Youtube","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Great deal","Great deal","Great deal","No trust at all","Not very much","Shorter and concise news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Moderate","Moderate","Minor","Minor","Minor","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, always","No","Never",NA,NA,NA,"Armed Forces (Military, Navy, Air force)",NA,NA,"Businesses","Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","No","No","No","No","No","Yes, for worse","Disagree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Not worried","Not worried","Not worried","Not worried","Agility/speed in counting votes","Confidence in the independence and reliability of the electoral justice","High School","Black","Catholic","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","High School","3 to 6 MWs","A/B","Catholic"
"695",28859313,"SC","FLORIANoPOLIS","South","Capital","Men",48,"45-59 age","Good","Approves","Fair amount","I no longer have a defined political orientation","Minimally interested","Quite interested","Once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Ease of access","Facebook","Youtube","Instagram",NA,NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming",NA,"YouTube channel",NA,NA,"Celular","LapTop/notebook","Tablet",NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Great deal","Unsure","Unsure","Unsure","Unsure","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","Unsure","Sometimes","No",NA,"A fair amount of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Unsure","Major","I am not worried about it","Never","Unsure","Yes, occasionally","Government",NA,NA,"Armed Forces (Military, Navy, Air force)",NA,NA,NA,"Industry and/or Agribusiness",NA,NA,NA,NA,NA,"Yes","No","No","No","No","No","Yes, for worse","Disagree","Agree","Agree","Disagree","WHO/Anvisa","Increased a great deal","Don't trust","Either one of the above","Very worried","Very worried","Very worried","Very worried","Very worried","Guaranteeing my vote was counted","Convenience/ease of voting","Elementary School","Pardo (brown)","Protestant / Evangelical","Between R$ 600,01 and R$ 1.200,00","D","40-49 age","Elementary School","Up to 1 MW","D/E","Evangelicals"
"696",28843411,"GO","CATALaO","Center-West","Countryside","Men",47,"45-59 age","Regular","Disapproves","Not very much","Center","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,"Radio",NA,NA,NA,NA,NA,"Podcasts",NA,"Trusted content","Instagram","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,"News site/news agency",NA,NA,NA,"PC/desktop","Celular",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Does not use","Great deal","Does not use","Not very much","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, a great deal","No","Never","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Scientists","Never","Yes","Never",NA,"Judiciary",NA,NA,NA,"Academia/Scientists",NA,NA,NA,"Press",NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Agree","Academia/Scientists","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Not worried","Confidence in the independence and reliability of the electoral justice","None of the above","Higher Education","Pardo (brown)","Spiritist / Kardecist","Between R$ 3.600,01 and R$ 7.200,00","B2","40-49 age","Higher Education","3 to 6 MWs","A/B","Other religion"
"697",28845170,"GO","VALPARAiSO DE GOIaS","Center-West","Countryside","Men",55,"45-59 age","Regular","Unsure","Not very much","Unsure","Not interested","Mildly interested","Unsure",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Does not use","Does not use","Does not use","Does not use","Not very much","Does not use","Does not use","Unsure","Unsure","Unsure",NA,NA,NA,NA,NA,NA,NA,"None of the above","Unsure","No","Unsure","Unsure",NA,"Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","I am not worried about it","Never","Unsure","Unsure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","No","No","No","No","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","Church","Unsure","Unsure","Unsure","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Unsure",NA,"High School","Other","None at all","Between R$ 3.600,01 and R$ 7.200,00","B2","50 or more","High School","3 to 6 MWs","A/B","No religion"
"698",28858445,"GO","CATALaO","Center-West","Countryside","Men",47,"45-59 age","Regular","Disapproves","Not very much","Center","Quite interested","Mildly interested","Once a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Trusted content","TikTok","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Audio Channel/Podcast",NA,"Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Great deal","No trust at all","Great deal","It depends on the content of the news videos and texts","News from sources with different points of view","Ignores",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, a fair amount","No","Sometimes","Yes","I didn't send a warning, but I also didn't share the same information anymore","A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","A fair amount of responsibility","Not much responsibility","Yes, a great deal","Minor","Minor","Moderate","Minor","Not impacted at all","Major","Minor","Major","Moderate","Moderate","Major","Major","Moderate","Moderate","People in general","Yes, occasionally","Yes","Yes, rarely","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Unsure","Yes","Unsure","It did not change","Disagree","Agree","Disagree","Disagree","Social media","No change at all","Not very much","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","High School","White","Catholic","Between R$ 1.800,01 and R$ 3.600,00","C1","40-49 age","High School","1 to 3 MWs","C","Catholic"
"699",28859791,"GO","CATALaO","Center-West","Countryside","Men",47,"45-59 age","Regular","Disapproves","Not very much","Center","Quite interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,"Podcasts",NA,"Convenience","Instagram","Facebook",NA,NA,NA,NA,NA,"Online version","Printed version",NA,NA,NA,NA,NA,"Celular","PC/desktop",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Not very much","Not very much","Not very much","No trust at all","Not very much","Shorter and concise news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,"I share journalistic news with people I know",NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Often","Yes","I just sent a message warning that the information was not true","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Major","Moderate","Minor","Major","Major","Major","Moderate","Moderate","Minor","Major","Moderate","Minor","I am not worried about it","Never","Yes","Never",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,"Press",NA,NA,NA,"No","No","Yes","Yes","Yes","Yes","Yes, for worse","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Very worried","Slightly worried","Not worried","Slightly worried","Guaranteeing my vote was counted","Guaranteeing that there is no internal interference (inside Brazil)","High School","White","Other","Between R$ 600,01 and R$ 1.200,00","D","40-49 age","High School","Up to 1 MW","D/E","Other religion"
"700",28859931,"GO","VALPARAiSO DE GOIaS","Center-West","Countryside","Men",55,"45-59 age","Terrible","Neither approves nor disapproves","Unsure","I never had a political orientation","Not interested","Not interested","Never",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Easy to read content","WhatsApp","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Indifferent","News from sources with different points of view","Ignores",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, but not very much","No","Often","No",NA,"Not much responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Journalists or the press","Never","Yes","Yes, always",NA,"Judiciary",NA,NA,NA,NA,NA,NA,"Church",NA,NA,"NGOs",NA,"Yes","Yes","Yes","Yes","Yes","Yes","It did not change","Disagree","Disagree","Disagree","Disagree","WHO/Anvisa","Decreased a great deal","Great deal","Electronic ballot","Very worried","Very worried","Very worried","Very worried","Very worried","Agility/speed in counting votes","Confidence in the independence and reliability of the electoral justice","No education","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","50 or more","No education","Up to 1 MW","D/E","Catholic"
"701",28845474,"MT","VaRZEA GRANDE","Center-West","Metropolitan region","Men",50,"45-59 age","Regular","Approves","Fair amount","I never had a political orientation","Minimally interested","Mildly interested","Less than once a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","No trust at all","Not very much","Not very much","No trust at all","No trust at all","Not very much","Shorter and concise news videos and texts","News from sources who share your point of view","Comments",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, a fair amount","No","Hardly ever","No",NA,"Not much responsibility","No responsibility at all","No responsibility at all","A fair amount of responsibility","A fair amount of responsibility","Yes, a great deal","Moderate","Not impacted at all","Moderate","Moderate","Not impacted at all","Minor","Not impacted at all","Minor","Minor","Not impacted at all","Not impacted at all","Not impacted at all","Not impacted at all","Minor","I am not worried about it","Never","Never heard of fact-checking agencies","Never",NA,NA,NA,NA,NA,NA,NA,NA,"Church",NA,NA,NA,NA,"Yes","Yes","No","No","No","Yes","It did not change","Disagree","Disagree","Disagree","Agree","Friends and family","No change at all","Don't trust","Printed vote (from the electronic ballot)","Slightly worried","Very worried","Slightly worried","Very worried","Very worried","Confidence in the independence and reliability of the electoral justice","Agility/speed in counting votes","Middle School","Pardo (brown)","Protestant / Evangelical","Between R$ 3.600,01 and R$ 7.200,00","B2","50 or more","Elementary School","3 to 6 MWs","A/B","Evangelicals"
