"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"305","2003-04",2003,"Brazil","Lula",43,10,47,40,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-04-01,"2003-2","LULA",TRUE,45.35,36.5299565816594
"306","2003-04",2003,"Brazil","Lula",47.7,9.4,43.1,34.8,8.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-04-19,"2003-2","LULA",TRUE,45.35,36.5299565816594
"307","2003-05",2003,"Brazil","Lula",51.6,7.2,41.3,35.7,5.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-05-30,"2003-2","LULA",TRUE,51.6,39.9204401326298
"308","2003-06",2003,"Brazil","Lula",43,11,46,38,8,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2003-06-20,"2003-2","LULA",TRUE,42.5,35.2825621121265
"309","2003-06",2003,"Brazil","Lula",42,11,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-06-25,"2003-2","LULA",TRUE,42.5,35.2825621121265
"310","2003-07",2003,"Brazil","Lula",46.3,10.3,43.5,38.8,4.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-07-11,"2003-3","LULA",TRUE,46.3,36.6597376390526
"311","2003-08",2003,"Brazil","Lula",45,11,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-08-22,"2003-3","LULA",TRUE,46.65,37.0263907878648
"312","2003-08",2003,"Brazil","Lula",48.3,10,41.8,38.6,3.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-08-22,"2003-3","LULA",TRUE,46.65,37.0263907878648
"313","2003-09",2003,"Brazil","Lula",43,14,44,40,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2003-09-22,"2003-3","LULA",TRUE,43,33.7862187208606
"314","2003-10",2003,"Brazil","Lula",41.6,12.3,46.2,42.3,3.9,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-10-17,"2003-4","LULA",TRUE,41.8,34.2105761825452
"315","2003-10",2003,"Brazil","Lula",42,11,47,44,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-10-29,"2003-4","LULA",TRUE,41.8,34.2105761825452
"316","2003-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5666666666667,34.5201207475383
"317","2003-12",2003,"Brazil","Lula",41,12.9,46.2,41.9,4.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-12-04,"2003-4","LULA",TRUE,41.3333333333333,33.6086490393149
"318","2003-12",2003,"Brazil","Lula",41,14,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2003-12-08,"2003-4","LULA",TRUE,41.3333333333333,33.6086490393149
"319","2003-12",2003,"Brazil","Lula",42,15,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-12-15,"2003-4","LULA",TRUE,41.3333333333333,33.6086490393149
"320","2004-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6166666666667,32.5871544533513
"321","2004-02",2004,"Brazil","Lula",39.9,15.1,45.1,40.6,4.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-02-06,"2004-1","LULA",TRUE,39.9,32.5263367568118
"322","2004-03",2004,"Brazil","Lula",38,17,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-03-01,"2004-1","LULA",TRUE,35.5333333333333,30.3489746619743
"323","2004-03",2004,"Brazil","Lula",34,23,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2004-03-25,"2004-1","LULA",TRUE,35.5333333333333,30.3489746619743
"324","2004-03",2004,"Brazil","Lula",34.6,19.4,46,42.7,3.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-03-26,"2004-1","LULA",TRUE,35.5333333333333,30.3489746619743
"325","2004-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0666666666667,29.0096308835263
"326","2004-05",2004,"Brazil","Lula",34.6,20,45.6,43.5,2.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-05-09,"2004-2","LULA",TRUE,34.6,28.7807128794775
"327","2004-06",2004,"Brazil","Lula",29.4,24.1,46.6,44.2,2.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-06-17,"2004-2","LULA",TRUE,29.2,25.2999285993382
"328","2004-06",2004,"Brazil","Lula",29,26,44,42,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2004-06-21,"2004-2","LULA",TRUE,29.2,25.2999285993382
"329","2004-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,25.9913028080538
"330","2004-08",2004,"Brazil","Lula",38.2,17.7,44.3,40.8,3.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-08-05,"2004-3","LULA",TRUE,36.6,29.3420498631595
"331","2004-08",2004,"Brazil","Lula",35,17,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-08-19,"2004-3","LULA",TRUE,36.6,29.3420498631595
"332","2004-09",2004,"Brazil","Lula",41.3,16.4,42.5,39.1,3.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-09-23,"2004-3","LULA",TRUE,41.3,32.4926079514125
"333","2004-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.15,33.8506120771103
"334","2004-11",2004,"Brazil","Lula",41,16,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2004-11-29,"2004-4","LULA",TRUE,41,32.1006312108035
"335","2004-12",2004,"Brazil","Lula",44.5,14.4,41.3,38.2,3.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-12-09,"2004-4","LULA",TRUE,44.75,35.2959116994461
"336","2004-12",2004,"Brazil","Lula",45,13,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-12-17,"2004-4","LULA",TRUE,44.75,35.2959116994461
"337","2005-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.675,35.3957241880812
"338","2005-02",2005,"Brazil","Lula",42.6,13.9,43.7,39.9,3.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-02-17,"2005-1","LULA",TRUE,42.6,34.6323765930373
"339","2005-03",2005,"Brazil","Lula",39,17,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-03-14,"2005-1","LULA",TRUE,39,31.3170171797793
"340","2005-04",2005,"Brazil","Lula",41.9,16,42.3,39.8,2.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-04-14,"2005-2","LULA",TRUE,41.9,33.1760491835668
"341","2005-05",2005,"Brazil","Lula",39.8,18.8,41.6,38.3,3.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-05-27,"2005-2","LULA",TRUE,39.8,32.5133511512221
"342","2005-06",2005,"Brazil","Lula",35,18,46,45,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-06-01,"2005-2","LULA",TRUE,35.75,30.4381884438804
"343","2005-06",2005,"Brazil","Lula",37,21,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-06-06,"2005-2","LULA",TRUE,35.75,30.4381884438804
"344","2005-06",2005,"Brazil","Lula",35,22,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-06-13,"2005-2","LULA",TRUE,35.75,30.4381884438804
"345","2005-06",2005,"Brazil","Lula",36,19,45,44,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-06-16,"2005-2","LULA",TRUE,35.75,30.4381884438804
"346","2005-07",2005,"Brazil","Lula",40.3,20,39.9,37.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-07-07,"2005-3","LULA",TRUE,37.1,30.0700989695078
"347","2005-07",2005,"Brazil","Lula",36,24,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-07-18,"2005-3","LULA",TRUE,37.1,30.0700989695078
"348","2005-07",2005,"Brazil","Lula",35,23,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-07-21,"2005-3","LULA",TRUE,37.1,30.0700989695078
"349","2005-08",2005,"Brazil","Lula",31,26,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-08-10,"2005-3","LULA",TRUE,29.6666666666667,26.9125893598006
"350","2005-08",2005,"Brazil","Lula",29,31,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-08-17,"2005-3","LULA",TRUE,29.6666666666667,26.9125893598006
"351","2005-08",2005,"Brazil","Lula",29,31,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-08-22,"2005-3","LULA",TRUE,29.6666666666667,26.9125893598006
"352","2005-09",2005,"Brazil","Lula",35.8,24,40.4,38.2,2.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-09-08,"2005-3","LULA",TRUE,32.4,26.0436857361463
"353","2005-09",2005,"Brazil","Lula",29,32,38,36,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-09-12,"2005-3","LULA",TRUE,32.4,26.0436857361463
"354","2005-10",2005,"Brazil","Lula",30,28,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-10-13,"2005-4","LULA",TRUE,29,25.3869672706535
"355","2005-10",2005,"Brazil","Lula",28,28,44,42,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-10-21,"2005-4","LULA",TRUE,29,25.3869672706535
"356","2005-11",2005,"Brazil","Lula",31.1,29,39.9,37.6,2.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-11-17,"2005-4","LULA",TRUE,31.1,25.9159893605711
"357","2005-12",2005,"Brazil","Lula",29,32,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2005-12-07,"2005-4","LULA",TRUE,28.5,25.1976475109791
"358","2005-12",2005,"Brazil","Lula",28,29,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-12-14,"2005-4","LULA",TRUE,28.5,25.1976475109791
"359","2006-01",2006,"Brazil","Lula",33,27,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-01-16,"2006-1","LULA",TRUE,33,26.2772392454869
"360","2006-02",2006,"Brazil","Lula",36,23,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-02-02,"2006-1","LULA",TRUE,36.8333333333333,30.0119329563758
"361","2006-02",2006,"Brazil","Lula",37.5,21.4,41.2,40,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-02-09,"2006-1","LULA",TRUE,36.8333333333333,30.0119329563758
"362","2006-02",2006,"Brazil","Lula",37,22,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-02-21,"2006-1","LULA",TRUE,36.8333333333333,30.0119329563758
"363","2006-03",2006,"Brazil","Lula",38,22,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-03-11,"2006-1","LULA",TRUE,38,30.8451476445911
"364","2006-03",2006,"Brazil","Lula",38,23,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-03-17,"2006-1","LULA",TRUE,38,30.8451476445911
"365","2006-04",2006,"Brazil","Lula",37.6,24.1,38.5,36.7,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-04-06,"2006-2","LULA",TRUE,37.3,31.1049024578288
"366","2006-04",2006,"Brazil","Lula",37,23,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-04-07,"2006-2","LULA",TRUE,37.3,31.1049024578288
"367","2006-05",2006,"Brazil","Lula",38.3,22.2,39.7,37.5,2.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-05-21,"2006-2","LULA",TRUE,38.4333333333333,31.3708242694121
"368","2006-05",2006,"Brazil","Lula",39,22,38,37,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-05-24,"2006-2","LULA",TRUE,38.4333333333333,31.3708242694121
"369","2006-05",2006,"Brazil","Lula",38,19,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-05-30,"2006-2","LULA",TRUE,38.4333333333333,31.3708242694121
"370","2006-06",2006,"Brazil","Lula",44,19,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-06-07,"2006-2","LULA",TRUE,44,33.2467191064554
"371","2006-07",2006,"Brazil","Lula",41,19.3,39.8,38.5,1.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-07-06,"2006-3","LULA",TRUE,39.5,31.9731177367328
"372","2006-07",2006,"Brazil","Lula",38,21,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-07-18,"2006-3","LULA",TRUE,39.5,31.9731177367328
"373","2006-07",2006,"Brazil","Lula",39,23,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-07-24,"2006-3","LULA",TRUE,39.5,31.9731177367328
"374","2006-07",2006,"Brazil","Lula",40,19,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-07-31,"2006-3","LULA",TRUE,39.5,31.9731177367328
"375","2006-08",2006,"Brazil","Lula",43.6,15.6,40.9,39.5,1.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-08-04,"2006-3","LULA",TRUE,44.7,34.9684654123799
"376","2006-08",2006,"Brazil","Lula",45,18,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-08,"2006-3","LULA",TRUE,44.7,34.9684654123799
"377","2006-08",2006,"Brazil","Lula",41,22,36,35,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-08-09,"2006-3","LULA",TRUE,44.7,34.9684654123799
"378","2006-08",2006,"Brazil","Lula",41,21,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-08-17,"2006-3","LULA",TRUE,44.7,34.9684654123799
"379","2006-08",2006,"Brazil","Lula",52,16,32,31,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-22,"2006-3","LULA",TRUE,44.7,34.9684654123799
"380","2006-08",2006,"Brazil","Lula",44,17,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-08-25,"2006-3","LULA",TRUE,44.7,34.9684654123799
"381","2006-08",2006,"Brazil","Lula",48,16,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-29,"2006-3","LULA",TRUE,44.7,34.9684654123799
"382","2006-08",2006,"Brazil","Lula",43,18,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-08-31,"2006-3","LULA",TRUE,44.7,34.9684654123799
"383","2006-09",2006,"Brazil","Lula",48,18,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-05,"2006-3","LULA",TRUE,46,35.6016810230177
"384","2006-09",2006,"Brazil","Lula",46,19,36,35,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-09-07,"2006-3","LULA",TRUE,46,35.6016810230177
"385","2006-09",2006,"Brazil","Lula",49,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-09-11,"2006-3","LULA",TRUE,46,35.6016810230177
"386","2006-09",2006,"Brazil","Lula",46,18,36,35,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-12,"2006-3","LULA",TRUE,46,35.6016810230177
"387","2006-09",2006,"Brazil","Lula",48,18,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-19,"2006-3","LULA",TRUE,46,35.6016810230177
"388","2006-09",2006,"Brazil","Lula",43,19,38,37,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-09-20,"2006-3","LULA",TRUE,46,35.6016810230177
"389","2006-09",2006,"Brazil","Lula",46,18,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-22,"2006-3","LULA",TRUE,46,35.6016810230177
"390","2006-09",2006,"Brazil","Lula",43,20,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-09-22,"2006-3","LULA",TRUE,46,35.6016810230177
"391","2006-09",2006,"Brazil","Lula",44,21,36,35,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-09-26,"2006-3","LULA",TRUE,46,35.6016810230177
"392","2006-09",2006,"Brazil","Lula",47,17,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-27,"2006-3","LULA",TRUE,46,35.6016810230177
"393","2006-10",2006,"Brazil","Lula",49,17,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-06,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"394","2006-10",2006,"Brazil","Lula",49,17,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-10,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"395","2006-10",2006,"Brazil","Lula",45,20,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-10-11,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"396","2006-10",2006,"Brazil","Lula",51,15,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-17,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"397","2006-10",2006,"Brazil","Lula",50,15,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-10-19,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"398","2006-10",2006,"Brazil","Lula",53,15,32,31,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-24,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"399","2006-10",2006,"Brazil","Lula",51,15,33,32,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-10-25,"2006-4","LULA",TRUE,49.7142857142857,39.0770851104156
"400","2006-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1071428571429,40.4410358108364
"401","2006-12",2006,"Brazil","Lula",57,13,30,28,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2006-12-10,"2006-4","LULA",TRUE,54.5,41.1760155231331
"402","2006-12",2006,"Brazil","Lula",52,14,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-12-13,"2006-4","LULA",TRUE,54.5,41.1760155231331
"403","2007-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3333333333333,39.3629509621147
"404","2007-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1666666666667,39.0795791959155
"405","2007-03",2007,"Brazil","Lula",48,14,38,37,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2007-03-20,"2007-1","LULA",TRUE,48,38.5144621406015
"406","2007-04",2007,"Brazil","Lula",49,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2007-04-02,"2007-2","LULA",TRUE,49.25,38.1483429690389
"407","2007-04",2007,"Brazil","Lula",49.5,14.6,36.1,34.3,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2007-04-06,"2007-2","LULA",TRUE,49.25,38.1483429690389
"408","2007-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.375,36.9496853605552
"409","2007-06",2007,"Brazil","Lula",47.5,14,38.5,36.5,2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2007-06-22,"2007-2","LULA",TRUE,47.5,37.4509695320292
"410","2007-07",2007,"Brazil","Lula",50,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2007-07-01,"2007-3","LULA",TRUE,50,37.7675399984068
"411","2007-08",2007,"Brazil","Lula",48,15,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2007-08-02,"2007-3","LULA",TRUE,48,38.0326944427913
"412","2007-09",2007,"Brazil","Lula",48,18,33,32,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2007-09-18,"2007-3","LULA",TRUE,48,36.8793513747133
"413","2007-10",2007,"Brazil","Lula",46.5,16.5,37,35.9,1.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT Website",NA,"LULA",2007-10-15,"2007-4","LULA",TRUE,46.5,36.8022951924825
"414","2007-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.75,38.8197631826079
"415","2007-12",2007,"Brazil","Lula",51,17,41,31,10,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2007-12-05,"2007-4","LULA",TRUE,51,38.4779091408143
"416","2008-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.85,38.2344598155097
"417","2008-02",2008,"Brazil","Lula",52.7,13.7,33.8,32.5,1.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-02-16,"2008-1","LULA",TRUE,52.7,40.5071543536358
"418","2008-03",2008,"Brazil","Lula",58,11,31,30,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2008-03-23,"2008-1","LULA",TRUE,56.5,42.2710807542898
"419","2008-03",2008,"Brazil","Lula",55,11,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-03-27,"2008-1","LULA",TRUE,56.5,42.2710807542898
"420","2008-04",2008,"Brazil","Lula",57.5,11.3,31.4,29.6,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-04-25,"2008-2","LULA",TRUE,57.5,44.1503259412804
"421","2008-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.75,45.2589326239734
"422","2008-06",2008,"Brazil","Lula",58,12,30,29,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2008-06-23,"2008-2","LULA",TRUE,58,43.533830069499
"423","2008-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.0888888888889,44.8185945591579
"424","2008-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1777777777778,44.9778636970459
"425","2008-09",2008,"Brazil","Lula",64,8,29,28,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-09-11,"2008-3","LULA",TRUE,67.2666666666667,48.3880842540996
"426","2008-09",2008,"Brazil","Lula",68.8,6.8,24.4,23.2,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-09-19,"2008-3","LULA",TRUE,67.2666666666667,48.3880842540996
"427","2008-09",2008,"Brazil","Lula",69,8,24,23,1,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"LULA",2008-09-22,"2008-3","LULA",TRUE,67.2666666666667,48.3880842540996
"428","2008-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6333333333333,49.757125366403
"429","2008-11",2008,"Brazil","Lula",70,7,23,23,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-11-28,"2008-4","LULA",TRUE,70,51.5263404226995
