raw.date,day,month,year,Date,Country,President,Positive,Negative,DK-Neutral,Neutral,DK,Sum,QuestType,Type,SampleType,SampleSize,SampleMode,Question,Institute,Institute_OLD,Validation_Institute,SurveyName,Source,Notes
11-13.dez.96,13,dec,1996,1996-12-13,Brazil,Cardoso,47,12,41,38,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
jan.97,,jan,1997,1997-01-01,Brazil,Cardoso,51,"13,4","35,7","33,8","1,9",100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Cesop01194,
mar.97,,mar,1997,1997-03-01,Brazil,Cardoso,51,14,36,34,2,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
01-05.mar.97,5,mar,1997,1997-03-05,Brazil,Cardoso,42,16,41,40,1,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mai.97,,may,1997,1997-05-01,Brazil,Cardoso,34,26,41,37,4,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
05-06.mai.97,6,may,1997,1997-05-06,Brazil,Cardoso,42,18,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
18-20.jun.97,20,jun,1997,1997-06-20,Brazil,Cardoso,39,16,44,42,2,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
ago.97,,aug,1997,1997-08-01,Brazil,Cardoso,38,24,38,35,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
06-09.set.97,9,sep,1997,1997-09-09,Brazil,Cardoso,36,20,43,41,2,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
16.set.97,16,sep,1997,1997-09-16,Brazil,Cardoso,43,15,42,41,1,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
out.97,,oct,1997,1997-10-01,Brazil,Cardoso,43,17,40,37,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
06-09.dez.97,9,dec,1997,1997-12-09,Brazil,Cardoso,38,19,43,41,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
15-17.dez.97,17,dec,1997,1997-12-17,Brazil,Cardoso,37,20,43,40,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
jan.98,,jan,1998,1998-01-01,Brazil,Cardoso,42,16,43,41,2,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
27-29.jan.98,29,jan,1998,1998-01-29,Brazil,Cardoso,33,21,47,45,2,101,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mar.98,,mar,1998,1998-03-01,Brazil,Cardoso,39,21,41,38,3,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
10-11.mar.98,11,mar,1998,1998-03-11,Brazil,Cardoso,38,21,41,39,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
06.abr.98,6,apr,1998,1998-04-06,Brazil,Cardoso,31,23,46,45,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
29-30.abr.98,30,apr,1998,1998-04-30,Brazil,Cardoso,35,21,44,41,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
mai.98,,may,1998,1998-05-01,Brazil,Cardoso,33,26,41,39,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
16.mai.98,16,may,1998,1998-05-16,Brazil,Cardoso,29,26,45,42,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
27-28.mai.98,28,may,1998,1998-05-28,Brazil,Cardoso,31,24,45,43,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
08-09.jun.98,9,jun,1998,1998-06-09,Brazil,Cardoso,31,25,44,41,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
16.jun.98,16,jun,1998,1998-06-16,Brazil,Cardoso,31,27,42,39,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
jul.98,,jul,1998,1998-07-01,Brazil,Cardoso,41,17,43,40,3,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
08-09.jul.98,9,jul,1998,1998-07-09,Brazil,Cardoso,38,19,43,41,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
21.jul.98,21,jul,1998,1998-07-21,Brazil,Cardoso,36,22,42,41,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
11.ago.98,11,aug,1998,1998-08-11,Brazil,Cardoso,40,18,42,41,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
12-14.ago.98,14,aug,1998,1998-08-14,Brazil,Cardoso,39,18,43,40,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
01-02.set.98,2,sep,1998,1998-09-02,Brazil,Cardoso,43,17,39,37,2,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
15.set.98,15,sep,1998,1998-09-15,Brazil,Cardoso,45,17,38,36,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
10-11.dez.98,11,dec,1998,1998-12-11,Brazil,Cardoso,35,25,40,37,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
20.dez.98,20,dec,1998,1998-12-20,Brazil,Cardoso,32,23,44,43,1,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
24.jan.99,24,jan,1999,1999-01-24,Brazil,Cardoso,27,33,40,37,3,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
03-04.fev.99,4,feb,1999,1999-02-04,Brazil,Cardoso,21,36,43,39,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
01.mar.99,1,mar,1999,1999-03-01,Brazil,Cardoso,19,47,35,32,3,101,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mar.99,,mar,1999,1999-03-01,Brazil,Cardoso,22,41,37,34,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
29.mar.99,29,mar,1999,1999-03-29,Brazil,Cardoso,16,43,40,39,1,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
25.abr.99,25,apr,1999,1999-04-25,Brazil,Cardoso,17,46,37,35,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mai.99,,may,1999,1999-05-01,Brazil,Cardoso,18,44,38,35,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
23.mai.99,23,may,1999,1999-05-23,Brazil,Cardoso,15,51,34,32,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
09-11.jun.99,11,jun,1999,1999-06-11,Brazil,Cardoso,16,44,41,38,3,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
jul.99,,jul,1999,1999-07-01,Brazil,Cardoso,16,52,33,30,3,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
05.jul.99,5,jul,1999,1999-07-05,Brazil,Cardoso,12,53,35,33,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
10.ago.99,10,aug,1999,1999-08-10,Brazil,Cardoso,12,59,29,28,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
set.99,,sep,1999,1999-09-01,Brazil,Cardoso,16,51,33,30,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
06.set.99,6,sep,1999,1999-09-06,Brazil,Cardoso,8,65,27,26,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
14-15.set.99,15,sep,1999,1999-09-15,Brazil,Cardoso,13,56,30,27,3,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
10.out.99,10,oct,1999,1999-10-10,Brazil,Cardoso,8,62,29,27,2,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
nov.99,,nov,1999,1999-11-01,Brazil,Cardoso,17,48,36,32,4,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
09.nov.99,9,nov,1999,1999-11-09,Brazil,Cardoso,11,59,30,28,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
14.dez.99,14,dec,1999,1999-12-14,Brazil,Cardoso,12,59,28,26,2,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
13-15.dez.99,15,dec,1999,1999-12-15,Brazil,Cardoso,16,46,39,36,3,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
15-18.jan.00,18,jan,2000,2000-01-18,Brazil,Cardoso,16,43,41,40,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
fev.00,,feb,2000,2000-02-01,Brazil,Cardoso,20,39,41,37,4,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
19-21.fev.00,21,feb,2000,2000-02-21,Brazil,Cardoso,16,49,35,33,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
14-16.mar.00,16,mar,2000,2000-03-16,Brazil,Cardoso,18,43,39,37,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
18-20.mar.00,20,mar,2000,2000-03-20,Brazil,Cardoso,16,51,33,31,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
25-27.abr.00,27,apr,2000,2000-04-27,Brazil,Cardoso,14,51,35,34,1,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
mai.00,,may,2000,2000-05-01,Brazil,Cardoso,20,45,35,32,3,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
20-23.mai.00,23,may,2000,2000-05-23,Brazil,Cardoso,15,53,33,31,2,101,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
19-20.jun.00,20,jun,2000,2000-06-20,Brazil,Cardoso,19,41,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
24-26.jun.00,26,jun,2000,2000-06-26,Brazil,Cardoso,13,59,28,26,2,100,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
29-31.jul.00,31,jul,2000,2000-07-31,Brazil,Cardoso,19,44,36,34,2,99,Ot-Bom,Evaluation,,,,,Vox,Vox,TRUE,,Rodrigues,
ago.00,,aug,2000,2000-08-01,Brazil,Cardoso,20,39,41,36,5,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
ago.2000,,aug,2000,2000-08-01,Brazil,Cardoso,19,"39,3","41,9","39,1","2,8",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
set.2000,,sep,2000,2000-09-01,Brazil,Cardoso,23,38,"38,6","35,8","2,8",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
03-08.set.00,8,sep,2000,2000-09-08,Brazil,Cardoso,19,"39,3","41,9","39,1","2,8",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
out.2000,,oct,2000,2000-10-01,Brazil,Cardoso,19,"35,7","45,1","41,7","3,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
01-05.out.00,5,oct,2000,2000-10-05,Brazil,Cardoso,23,38,"38,6","35,8","2,8",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
09-10.out.00,10,oct,2000,2000-10-10,Brazil,Cardoso,23,37,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
04-08.nov.00,8,nov,2000,2000-11-08,Brazil,Cardoso,19,"35,7","45,2","41,7","3,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
dez.00,,dec,2000,2000-12-01,Brazil,Cardoso,25,34,42,39,3,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
12-15.dez.00,15,dec,2000,2000-12-15,Brazil,Cardoso,24,35,41,39,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
10-15.dez.00,15,dec,2000,2000-12-15,Brazil,Cardoso,23,38,39,"34,5","4,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
14-19.jan.01,19,jan,2001,2001-01-19,Brazil,Cardoso,25,"30,6",44,"40,4","3,6",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
11-16.fev.01,16,feb,2001,2001-02-16,Brazil,Cardoso,26,"29,5","44,3","39,8","4,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
mar.01,,mar,2001,2001-03-01,Brazil,Cardoso,26,31,43,38,5,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
21.mar.01,21,mar,2001,2001-03-21,Brazil,Cardoso,26,30,43,42,1,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
17-22.mar.01,22,mar,2001,2001-03-22,Brazil,Cardoso,33,"26,6","40,1","36,7","3,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
13-19.abr.01,19,apr,2001,2001-04-19,Brazil,Cardoso,30,"27,9","42,4","38,9","3,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
18-24.mai.01,24,may,2001,2001-05-24,Brazil,Cardoso,22,"37,1","40,8","36,2","4,6",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
14-18.jun.01,18,jun,2001,2001-06-18,Brazil,Cardoso,19,45,37,33,4,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
15-21.jun.01,21,jun,2001,2001-06-21,Brazil,Cardoso,18,"44,5","37,8","35,1","2,7",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
25-28.jun.01,28,jun,2001,2001-06-28,Brazil,Cardoso,19,42,39,38,1,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
20-26.jul.01,26,jul,2001,2001-07-26,Brazil,Cardoso,20,"43,6","36,6","33,5","3,1",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
14-20.ago.01,20,aug,2001,2001-08-20,Brazil,Cardoso,22,"39,4","38,9","36,1","2,8",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
17-23.ago.01,23,aug,2001,2001-08-23,Brazil,Cardoso,22,40,"38,3","35,3",3,100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
13-17.set.01,17,sep,2001,2001-09-17,Brazil,Cardoso,22,36,43,41,2,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
18.set.01,18,sep,2001,2001-09-18,Brazil,Cardoso,22,36,42,40,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
23-31.out.01,31,oct,2001,2001-10-31,Brazil,Cardoso,22,"36,4","41,6","38,9","2,7",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
09-21.nov.01,21,nov,2001,2001-11-21,Brazil,Cardoso,24,36,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
06-11.dez.01,11,dec,2001,2001-12-11,Brazil,Cardoso,23,"35,2","41,9",38,"3,9",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
12-14.dez.01,14,dec,2001,2001-12-14,Brazil,Cardoso,24,35,42,40,2,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
29.nov-30.dez.01,30,dec,2001,2001-12-30,Brazil,Cardoso,21,37,42,40,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
17-24.jan.02,24,jan,2002,2002-01-24,Brazil,Cardoso,27,"30,5","42,8","38,9","3,9",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
20-21.fev.02,21,feb,2002,2002-02-21,Brazil,Cardoso,31,29,40,38,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
14-21.fev.02,21,feb,2002,2002-02-21,Brazil,Cardoso,27,"28,8","43,8","39,8",4,100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
12.mar.02,12,mar,2002,2002-03-12,Brazil,Cardoso,29,28,44,41,3,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
12-16.mar.02,16,mar,2002,2002-03-16,Brazil,Cardoso,29,29,43,41,2,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
14-18.mar.02,18,mar,2002,2002-03-18,Brazil,Cardoso,28,31,41,39,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
15-21.mar.02,21,mar,2002,2002-03-21,Brazil,Cardoso,28,"29,1","42,8","38,7","4,1",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
09.abr.02,9,apr,2002,2002-04-09,Brazil,Cardoso,28,29,43,41,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
21-25.abr.02,25,apr,2002,2002-04-25,Brazil,Cardoso,26,"32,6","41,8","32,6","9,2",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
14.mai.02,14,may,2002,2002-05-14,Brazil,Cardoso,27,29,44,41,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
19-23.mai.02,23,may,2002,2002-05-23,Brazil,Cardoso,28,"29,5","42,3","37,9","4,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
07.jun.02,7,jun,2002,2002-06-07,Brazil,Cardoso,31,28,42,40,2,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
16-20.jun.02,20,jun,2002,2002-06-20,Brazil,Cardoso,30,26,"44,2","39,8","4,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
jul.2002,,jul,2002,2002-07-01,Brazil,Cardoso,27,"27,2","46,1","43,4","2,7",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
4-5.jul.02,5,jul,2002,2002-07-05,Brazil,Cardoso,31,26,42,40,2,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
21-23.jul.02,23,jul,2002,2002-07-23,Brazil,Cardoso,26,30,45,43,2,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
ago.2002,,aug,2002,2002-08-01,Brazil,Cardoso,28,"29,6","42,8","40,3","2,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
15-16.ago.02,16,aug,2002,2002-08-16,Brazil,Cardoso,27,32,42,40,2,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
30.ago.02,30,aug,2002,2002-08-30,Brazil,Cardoso,26,32,42,39,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
set.2002,,sep,2002,2002-09-01,Brazil,Cardoso,25,"33,8",41,"37,7","3,3",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
9.set.02,9,sep,2002,2002-09-09,Brazil,Cardoso,26,34,40,36,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
19-20.set.02,20,sep,2002,2002-09-20,Brazil,Cardoso,23,34,43,40,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
26-27.set.02,27,sep,2002,2002-09-27,Brazil,Cardoso,23,35,42,39,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
out.2002,,oct,2002,2002-10-01,Brazil,Cardoso,24,"34,4","41,3","38,6","2,7",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,CNT PDF Report,
11.out.02,11,oct,2002,2002-10-11,Brazil,Cardoso,23,32,45,42,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
18.out.02,18,oct,2002,2002-10-18,Brazil,Cardoso,26,32,42,38,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
9-11.dez.02,11,dec,2002,2002-12-11,Brazil,Cardoso,26,36,38,36,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Datafolha,
19-23.jan.03,23,jan,2003,2003-01-23,Brazil,Lula,57,"2,3","41,3","17,7","23,6",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
8.mar.03,8,mar,2003,2003-03-08,Brazil,Lula,45,"7,9","47,2","32,7","14,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
20-23.mar.03,23,mar,2003,2003-03-23,Brazil,Lula,51,7,42,36,6,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
31.mar-01.abr.03,1,apr,2003,2003-04-01,Brazil,Lula,43,10,47,40,7,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
17-19.abr.03,19,apr,2003,2003-04-19,Brazil,Lula,48,"9,4","43,1","34,8","8,3",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
28-30.mai.03,30,may,2003,2003-05-30,Brazil,Lula,52,"7,2","41,3","35,7","5,6",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
19-20.jun.03,20,jun,2003,2003-06-20,Brazil,Lula,43,11,46,38,8,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
24-25.jun.03,25,jun,2003,2003-06-25,Brazil,Lula,42,11,47,43,4,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
9-11.jul.03,11,jul,2003,2003-07-11,Brazil,Lula,46,"10,3","43,5","38,8","4,7",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
20-22.ago.03,22,aug,2003,2003-08-22,Brazil,Lula,45,11,45,42,3,101,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
20-22.ago.03,22,aug,2003,2003-08-22,Brazil,Lula,48,10,"41,8","38,6","3,2",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
18-22.set.03,22,sep,2003,2003-09-22,Brazil,Lula,43,14,44,40,4,101,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
15-17.out.03,17,oct,2003,2003-10-17,Brazil,Lula,42,"12,3","46,2","42,3","3,9",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
28-29.out.03,29,oct,2003,2003-10-29,Brazil,Lula,42,11,47,44,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
2-4.dez.03,4,dec,2003,2003-12-04,Brazil,Lula,41,"12,9","46,2","41,9","4,3",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
4-8.dez.03,8,dec,2003,2003-12-08,Brazil,Lula,41,14,45,43,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
8-15.dez.03,15,dec,2003,2003-12-15,Brazil,Lula,42,15,43,41,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
4-6.fev.04,6,feb,2004,2004-02-06,Brazil,Lula,40,"15,1","45,1","40,6","4,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
01.mar.04,1,mar,2004,2004-03-01,Brazil,Lula,38,17,45,43,2,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
20-25.mar.04,25,mar,2004,2004-03-25,Brazil,Lula,34,23,43,41,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
24-26.mar.04,26,mar,2004,2004-03-26,Brazil,Lula,35,"19,4",46,"42,7","3,3",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
7-9.mai.04,9,may,2004,2004-05-09,Brazil,Lula,35,20,"45,6","43,5","2,1",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
15-17.jun.04,17,jun,2004,2004-06-17,Brazil,Lula,29,"24,1","46,6","44,2","2,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
17-21.jun.04,21,jun,2004,2004-06-21,Brazil,Lula,29,26,44,42,2,99,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
3-5.ago.04,5,aug,2004,2004-08-05,Brazil,Lula,38,"17,7","44,3","40,8","3,5",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
17-19.ago.04,19,aug,2004,2004-08-19,Brazil,Lula,35,17,48,45,3,100,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
21-23.set.04,23,sep,2004,2004-09-23,Brazil,Lula,41,"16,4","42,5","39,1","3,4",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
24-29.nov.04,29,nov,2004,2004-11-29,Brazil,Lula,41,16,43,41,2,100,Ot-Bom,Evaluation,,,,,IBOPE,Ibope/Ipec,FALSE,,Rodrigues,
7-9.dez.04,9,dec,2004,2004-12-09,Brazil,Lula,45,"14,4","41,3","38,2","3,1",100,Ot-Bom,Evaluation,,,,,Sensus,Sensus,TRUE,,Rodrigues,
14-17.dez.04,17,dec,2004,2004-12-17,Brazil,Lula,45,13,41,40,1,99,Ot-Bom,Evaluation,,,,,Datafolha,Datafolha,TRUE,,Rodrigues,
