"","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","M"
"135",1995,"Brazil","Cardoso",42,16,42,38,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1995-07-15,"1995-3","1995-07"
"136",1995,"Brazil","Cardoso",42,14,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-07-24,"1995-3","1995-07"
"137",1995,"Brazil","Cardoso",39,17,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-08-29,"1995-3","1995-08"
"138",1995,"Brazil","Cardoso",40,15,45,43,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1995-09-15,"1995-3","1995-09"
"139",1995,"Brazil","Cardoso",42,15,43,39,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-09-18,"1995-3","1995-09"
"140",1995,"Brazil","Cardoso",43,15,42,40,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1995-11-15,"1995-4","1995-11"
"141",1995,"Brazil","Cardoso",41,15,44,40,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-12-15,"1995-4","1995-12"
"142",1996,"Brazil","Cardoso",41,17,42,39,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1996-02-15,"1996-1","1996-02"
"143",1996,"Brazil","Cardoso",26,26,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1996-05-14,"1996-2","1996-05"
"144",1996,"Brazil","Cardoso",35,NA,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"CNI-Ibope PDF report July 2012",NA,"CARDOSO",1996-05-15,"1996-2","1996-05"
"145",1996,"Brazil","Cardoso",30,25,46,41,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-06-25,"1996-2","1996-06"
"146",1996,"Brazil","Cardoso",38,19,42,40,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1996-08-15,"1996-3","1996-08"
"147",1996,"Brazil","Cardoso",43,17,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-09-20,"1996-3","1996-09"
"148",1996,"Brazil","Cardoso",46.4,15.6,38.1,35.7,2.4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Cesop01190",NA,"CARDOSO",1996-11-15,"1996-4","1996-11"
"149",1996,"Brazil","Cardoso",47,12,41,38,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-12-13,"1996-4","1996-12"
"150",1996,"Brazil","Cardoso",46,16,38,36,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1996-12-15,"1996-4","1996-12"
"151",1997,"Brazil","Cardoso",51,13.4,35.7,33.8,1.9,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Cesop01194",NA,"CARDOSO",1997-01-15,"1997-1","1997-01"
"152",1997,"Brazil","Cardoso",42,16,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-03-05,"1997-1","1997-03"
"153",1997,"Brazil","Cardoso",51,14,36,34,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1997-03-15,"1997-1","1997-03"
"154",1997,"Brazil","Cardoso",42,18,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-05-06,"1997-2","1997-05"
"155",1997,"Brazil","Cardoso",34,26,41,37,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1997-05-15,"1997-2","1997-05"
"156",1997,"Brazil","Cardoso",39,16,44,42,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-06-20,"1997-2","1997-06"
"157",1997,"Brazil","Cardoso",38,24,38,35,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1997-08-15,"1997-3","1997-08"
"158",1997,"Brazil","Cardoso",36,20,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-09-09,"1997-3","1997-09"
"159",1997,"Brazil","Cardoso",43,15,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-09-16,"1997-3","1997-09"
"160",1997,"Brazil","Cardoso",43,17,40,37,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1997-10-15,"1997-4","1997-10"
"161",1997,"Brazil","Cardoso",38,19,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-12-09,"1997-4","1997-12"
"162",1997,"Brazil","Cardoso",37,20,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-12-17,"1997-4","1997-12"
"163",1998,"Brazil","Cardoso",42,16,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1998-01-15,"1998-1","1998-01"
"164",1998,"Brazil","Cardoso",33,21,47,45,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-01-29,"1998-1","1998-01"
"165",1998,"Brazil","Cardoso",38,21,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-03-11,"1998-1","1998-03"
"166",1998,"Brazil","Cardoso",39,21,41,38,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1998-03-15,"1998-1","1998-03"
"167",1998,"Brazil","Cardoso",31,23,46,45,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-04-06,"1998-2","1998-04"
"168",1998,"Brazil","Cardoso",35,21,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-04-30,"1998-2","1998-04"
"169",1998,"Brazil","Cardoso",33,26,41,39,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1998-05-15,"1998-2","1998-05"
"170",1998,"Brazil","Cardoso",29,26,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-05-16,"1998-2","1998-05"
"171",1998,"Brazil","Cardoso",31,24,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-05-28,"1998-2","1998-05"
"172",1998,"Brazil","Cardoso",31,25,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-06-09,"1998-2","1998-06"
"173",1998,"Brazil","Cardoso",31,27,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-06-16,"1998-2","1998-06"
"174",1998,"Brazil","Cardoso",38,19,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-07-09,"1998-3","1998-07"
"175",1998,"Brazil","Cardoso",41,17,43,40,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1998-07-15,"1998-3","1998-07"
"176",1998,"Brazil","Cardoso",36,22,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-07-21,"1998-3","1998-07"
"177",1998,"Brazil","Cardoso",40,18,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-08-11,"1998-3","1998-08"
"178",1998,"Brazil","Cardoso",39,18,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-08-14,"1998-3","1998-08"
"179",1998,"Brazil","Cardoso",43,17,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-09-02,"1998-3","1998-09"
"180",1998,"Brazil","Cardoso",45,17,38,36,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-09-15,"1998-3","1998-09"
"181",1998,"Brazil","Cardoso",35,25,40,37,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-12-11,"1998-4","1998-12"
"182",1998,"Brazil","Cardoso",32,23,44,43,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-12-20,"1998-4","1998-12"
"183",1999,"Brazil","Cardoso",27,33,40,37,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-01-24,"1999-1","1999-01"
"184",1999,"Brazil","Cardoso",21,36,43,39,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-02-04,"1999-1","1999-02"
"185",1999,"Brazil","Cardoso",19,47,35,32,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-03-01,"1999-1","1999-03"
"186",1999,"Brazil","Cardoso",22,41,37,34,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1999-03-15,"1999-1","1999-03"
"187",1999,"Brazil","Cardoso",16,43,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-03-29,"1999-1","1999-03"
"188",1999,"Brazil","Cardoso",17,46,37,35,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-04-25,"1999-2","1999-04"
"189",1999,"Brazil","Cardoso",18,44,38,35,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1999-05-15,"1999-2","1999-05"
"190",1999,"Brazil","Cardoso",15,51,34,32,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-05-23,"1999-2","1999-05"
"191",1999,"Brazil","Cardoso",16,44,41,38,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-06-11,"1999-2","1999-06"
"192",1999,"Brazil","Cardoso",12,53,35,33,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-07-05,"1999-3","1999-07"
"193",1999,"Brazil","Cardoso",16,52,33,30,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1999-07-15,"1999-3","1999-07"
"194",1999,"Brazil","Cardoso",12,59,29,28,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-08-10,"1999-3","1999-08"
"195",1999,"Brazil","Cardoso",8,65,27,26,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-09-06,"1999-3","1999-09"
"196",1999,"Brazil","Cardoso",13,56,30,27,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-09-15,"1999-3","1999-09"
"197",1999,"Brazil","Cardoso",16,51,33,30,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1999-09-15,"1999-3","1999-09"
"198",1999,"Brazil","Cardoso",8,62,29,27,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-10-10,"1999-4","1999-10"
"199",1999,"Brazil","Cardoso",11,59,30,28,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-11-09,"1999-4","1999-11"
"200",1999,"Brazil","Cardoso",17,48,36,32,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",1999-11-15,"1999-4","1999-11"
"201",1999,"Brazil","Cardoso",12,59,28,26,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-12-14,"1999-4","1999-12"
"202",1999,"Brazil","Cardoso",16,46,39,36,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-12-15,"1999-4","1999-12"
"203",2000,"Brazil","Cardoso",16,43,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-01-18,"2000-1","2000-01"
"204",2000,"Brazil","Cardoso",20,39,41,37,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2000-02-15,"2000-1","2000-02"
"205",2000,"Brazil","Cardoso",16,49,35,33,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-02-21,"2000-1","2000-02"
"206",2000,"Brazil","Cardoso",18,43,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-03-16,"2000-1","2000-03"
"207",2000,"Brazil","Cardoso",16,51,33,31,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-03-20,"2000-1","2000-03"
"208",2000,"Brazil","Cardoso",14,51,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-04-27,"2000-2","2000-04"
"209",2000,"Brazil","Cardoso",20,45,35,32,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2000-05-15,"2000-2","2000-05"
"210",2000,"Brazil","Cardoso",15,53,33,31,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-05-23,"2000-2","2000-05"
"211",2000,"Brazil","Cardoso",19,41,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-06-20,"2000-2","2000-06"
"212",2000,"Brazil","Cardoso",13,59,28,26,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-06-26,"2000-2","2000-06"
"213",2000,"Brazil","Cardoso",19,44,36,34,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-07-31,"2000-3","2000-07"
"214",2000,"Brazil","Cardoso",20,39,41,36,5,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2000-08-15,"2000-3","2000-08"
"215",2000,"Brazil","Cardoso",18.8,39.3,41.9,39.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2000-08-15,"2000-3","2000-08"
"216",2000,"Brazil","Cardoso",18.8,39.3,41.9,39.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2000-09-08,"2000-3","2000-09"
"217",2000,"Brazil","Cardoso",23.4,38,38.6,35.8,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2000-09-15,"2000-3","2000-09"
"218",2000,"Brazil","Cardoso",23.4,38,38.6,35.8,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2000-10-05,"2000-4","2000-10"
"219",2000,"Brazil","Cardoso",23,37,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-10-10,"2000-4","2000-10"
"220",2000,"Brazil","Cardoso",19.2,35.7,45.1,41.7,3.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2000-10-15,"2000-4","2000-10"
"221",2000,"Brazil","Cardoso",19.1,35.7,45.2,41.7,3.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2000-11-08,"2000-4","2000-11"
"222",2000,"Brazil","Cardoso",24,35,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-12-15,"2000-4","2000-12"
"223",2000,"Brazil","Cardoso",25,34,42,39,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2000-12-15,"2000-4","2000-12"
"224",2000,"Brazil","Cardoso",23,38,39,34.5,4.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2000-12-15,"2000-4","2000-12"
"225",2001,"Brazil","Cardoso",25.4,30.6,44,40.4,3.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-01-19,"2001-1","2001-01"
"226",2001,"Brazil","Cardoso",26.2,29.5,44.3,39.8,4.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-02-16,"2001-1","2001-02"
"227",2001,"Brazil","Cardoso",26,31,43,38,5,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2001-03-15,"2001-1","2001-03"
"228",2001,"Brazil","Cardoso",26,30,43,42,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2001-03-21,"2001-1","2001-03"
"229",2001,"Brazil","Cardoso",33.3,26.6,40.1,36.7,3.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-03-22,"2001-1","2001-03"
"230",2001,"Brazil","Cardoso",29.7,27.9,42.4,38.9,3.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-04-19,"2001-2","2001-04"
"231",2001,"Brazil","Cardoso",22.1,37.1,40.8,36.2,4.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-05-24,"2001-2","2001-05"
"232",2001,"Brazil","Cardoso",19,45,37,33,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2001-06-18,"2001-2","2001-06"
"233",2001,"Brazil","Cardoso",17.7,44.5,37.8,35.1,2.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-06-21,"2001-2","2001-06"
"234",2001,"Brazil","Cardoso",19,42,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2001-06-28,"2001-2","2001-06"
"235",2001,"Brazil","Cardoso",19.8,43.6,36.6,33.5,3.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-07-26,"2001-3","2001-07"
"236",2001,"Brazil","Cardoso",21.7,39.4,38.9,36.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-08-20,"2001-3","2001-08"
"237",2001,"Brazil","Cardoso",21.7,40,38.3,35.3,3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-08-23,"2001-3","2001-08"
"238",2001,"Brazil","Cardoso",22,36,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2001-09-17,"2001-3","2001-09"
"239",2001,"Brazil","Cardoso",22,36,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2001-09-18,"2001-3","2001-09"
"240",2001,"Brazil","Cardoso",22,36.4,41.6,38.9,2.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-10-31,"2001-4","2001-10"
"241",2001,"Brazil","Cardoso",24,36,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2001-11-21,"2001-4","2001-11"
"242",2001,"Brazil","Cardoso",22.9,35.2,41.9,38,3.9,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2001-12-11,"2001-4","2001-12"
"243",2001,"Brazil","Cardoso",24,35,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2001-12-14,"2001-4","2001-12"
"244",2001,"Brazil","Cardoso",21,37,42,40,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2001-12-30,"2001-4","2001-12"
"245",2002,"Brazil","Cardoso",26.7,30.5,42.8,38.9,3.9,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-01-24,"2002-1","2002-01"
"246",2002,"Brazil","Cardoso",31,29,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-02-21,"2002-1","2002-02"
"247",2002,"Brazil","Cardoso",27.4,28.8,43.8,39.8,4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-02-21,"2002-1","2002-02"
"248",2002,"Brazil","Cardoso",29,28,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-03-12,"2002-1","2002-03"
"249",2002,"Brazil","Cardoso",29,29,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2002-03-16,"2002-1","2002-03"
"250",2002,"Brazil","Cardoso",28,31,41,39,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2002-03-18,"2002-1","2002-03"
"251",2002,"Brazil","Cardoso",28.1,29.1,42.8,38.7,4.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-03-21,"2002-1","2002-03"
"252",2002,"Brazil","Cardoso",28,29,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-04-09,"2002-2","2002-04"
"253",2002,"Brazil","Cardoso",25.6,32.6,41.8,32.6,9.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-04-25,"2002-2","2002-04"
"254",2002,"Brazil","Cardoso",27,29,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-05-14,"2002-2","2002-05"
"255",2002,"Brazil","Cardoso",28.2,29.5,42.3,37.9,4.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-05-23,"2002-2","2002-05"
"256",2002,"Brazil","Cardoso",31,28,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-06-07,"2002-2","2002-06"
"257",2002,"Brazil","Cardoso",29.8,26,44.2,39.8,4.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"CARDOSO",2002-06-20,"2002-2","2002-06"
"258",2002,"Brazil","Cardoso",31,26,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-07-05,"2002-3","2002-07"
"259",2002,"Brazil","Cardoso",26.7,27.2,46.1,43.4,2.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2002-07-15,"2002-3","2002-07"
"260",2002,"Brazil","Cardoso",26,30,45,43,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"CARDOSO",2002-07-23,"2002-3","2002-07"
"261",2002,"Brazil","Cardoso",27.6,29.6,42.8,40.3,2.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2002-08-15,"2002-3","2002-08"
"262",2002,"Brazil","Cardoso",27,32,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-08-16,"2002-3","2002-08"
"263",2002,"Brazil","Cardoso",26,32,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-08-30,"2002-3","2002-08"
"264",2002,"Brazil","Cardoso",26,34,40,36,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-09-09,"2002-3","2002-09"
"265",2002,"Brazil","Cardoso",25.2,33.8,41,37.7,3.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2002-09-15,"2002-3","2002-09"
"266",2002,"Brazil","Cardoso",23,34,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"CARDOSO",2002-09-20,"2002-3","2002-09"
"267",2002,"Brazil","Cardoso",23,35,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2002-09-27,"2002-3","2002-09"
"268",2002,"Brazil","Cardoso",23,32,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2002-10-11,"2002-4","2002-10"
"269",2002,"Brazil","Cardoso",24.3,34.4,41.3,38.6,2.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2002-10-15,"2002-4","2002-10"
"270",2002,"Brazil","Cardoso",26,32,42,38,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2002-10-18,"2002-4","2002-10"
"271",2002,"Brazil","Cardoso",26,36,38,36,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2002-12-11,"2002-4","2002-12"
"272",2003,"Brazil","Lula",56.6,2.3,41.3,17.7,23.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-01-23,"2003-1","2003-01"
"273",2003,"Brazil","Lula",45,7.9,47.2,32.7,14.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-03-08,"2003-1","2003-03"
"274",2003,"Brazil","Lula",51,7,42,36,6,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2003-03-23,"2003-1","2003-03"
"275",2003,"Brazil","Lula",43,10,47,40,7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-04-01,"2003-2","2003-04"
